"filename", "language", "JavaScript", "YAML", "Ignore", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "Vue", "SVG", "CSS", "SCSS", "comment", "blank", "total"
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 8, 15, 123
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\font.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 6, 18
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 19, 9, 95
"e:\MyDrive\server-monitor\src\renderer\src\assets\css\transition.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\MyDrive\server-monitor\src\renderer\src\assets\icons.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"e:\MyDrive\server-monitor\src\renderer\src\components\Versions.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"e:\MyDrive\server-monitor\src\renderer\src\components\card\card.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"e:\MyDrive\server-monitor\src\renderer\src\components\checkbox\checkbox-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\left-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"e:\MyDrive\server-monitor\src\renderer\src\components\menu\menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"e:\MyDrive\server-monitor\src\renderer\src\components\pagination\pagination-1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 16, 155
"e:\MyDrive\server-monitor\src\renderer\src\components\progress\circle-progress.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"e:\MyDrive\server-monitor\src\renderer\src\components\tabbed\tabbed.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 18, 183
"e:\MyDrive\server-monitor\src\renderer\src\composables\common\drag.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
